id,question_code,subject_id,chapter_id,question_type,content,explanation,difficulty,marks,negative_marks,correct_option,option_layout,year,source,raw_text
24c9561e-d4d6-4d73-81ec-028c47908577,CHE-BAS-0001,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following rules regarding the</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: Which of the following rules regarding the...</p>""}]",Medium,4,1,b,grid_2x2,2024,NEET Chemistry Bank,Which of the following rules regarding the
6ba432cb-8b2f-42e3-b167-b32bba1e620b,CHE-BAS-0002,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>significant figures and calculations involving them is/are correct? The result of an addition or subtraction is I. reported to the same number of decimal places as present in number with least decimal places.</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: significant figures and calculations involving them is/are c...</p>""}]",Medium,4,1,c,grid_2x2,2024,NEET Chemistry Bank,significant figures and calculations involving them is/are correct? The result of an addition or subtraction is I. reported to the same number of decimal places as present in number with least decimal places.
728e09d1-739b-4350-aca0-e70c6597d7d2,CHE-BAS-0003,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>II. Result of multiplication or division should have same number of significant figures as present in most precise figure. Ill. The result of multiplication or division should be rounded off to same number of significant figures as present in least precise figure. IV. The non-significant figures in the measurements</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: II. Result of multiplication or division should have same nu...</p>""}]",Easy,4,1,d,grid_2x2,2024,NEET Chemistry Bank,II. Result of multiplication or division should have same number of significant figures as present in most precise figure. Ill. The result of multiplication or division should be rounded off to same number of significant figures as present in least precise figure. IV. The non-significant figures in the measurements
57cea8b6-df19-4c2e-a36b-4341c336d458,CHE-BAS-0004,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>are rounded off.</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: are rounded off....</p>""}]",Medium,4,1,a,grid_2x2,2024,NEET Chemistry Bank,are rounded off.
856d5c5b-1bcf-4c26-aa39-40299e390a1b,CHE-BAS-0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>from the following on the basis of significant figures?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: from the following on the basis of significant figures?...</p>""}]",Hard,4,1,b,grid_2x2,2024,NEET Chemistry Bank,from the following on the basis of significant figures?
ba2b7c58-28ff-4e6d-a665-58947e85ba52,CHE-BAS-0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>25 (Page 13)</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/chemistry/che_table_1.png"", ""alt"": ""Figure/Table Diagram for CHE-BAS-0006""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: 25 (Page 13)...</p>""}]",Easy,4,1,c,grid_2x2,2024,NEET Chemistry Bank,25 (Page 13)
feaaf94e-a178-4fee-873a-91ff1c227f99,CHE-BAS-0007,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following have same number of significant figures? \u0412. 2.0005</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: Which of the following have same number of significant figur...</p>""}]",Medium,4,1,d,grid_2x2,2024,NEET Chemistry Bank,Which of the following have same number of significant figures? В. 2.0005
03cbbfc0-51d6-4148-bd12-ab25f6c7635f,CHE-BAS-0008,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>A. 0.00591</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: A. 0.00591...</p>""}]",Medium,4,1,a,grid_2x2,2024,NEET Chemistry Bank,A. 0.00591
8e25a5bd-3be6-48bb-b13c-91df454d7b22,CHE-BAS-0009,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>5 D. C. 21.0 Choose the correct answer from the options given below:</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: 5 D. C. 21.0 Choose the correct answer from the options give...</p>""}]",Easy,4,1,b,grid_2x2,2024,NEET Chemistry Bank,5 D. C. 21.0 Choose the correct answer from the options given below:
89ff8f1d-a57c-4abc-a0c4-db0b77bf0b93,CHE-BAS-0010,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,MCQ,"[{""type"": ""text"", ""html"": ""<p>What mass of $\\text{CaCO}_3$ decompose to give 50 g of</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Chemistry: What mass of $\\text{CaCO}_3$ decompose to give 50 g of...</p>""}]",Hard,4,1,c,grid_2x2,2024,NEET Chemistry Bank,What mass of $\text{CaCO}_3$ decompose to give 50 g of
