id,question_code,subject_id,chapter_id,question_type,content,explanation,difficulty,marks,negative_marks,correct_option,option_layout,year,source,raw_text
5ae98c7d-5fb8-4383-8e44-642779c8949e,PHY-UNI-0001,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>G = 6.67 x 10-\""I \\text{N}\\cdot\\text{m}^2\\text{kg}^{-2}. The value of G in units \\text{g}^{-1}\\text{cm}^3\\text{s}^{-2} is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: G = 6.67 x 10-\""I \\text{N}\\cdot\\text{m}^2\\text{kg}^{-2}. The ...</p>""}]",Medium,4,1,b,grid_2x2,2024,NEET Physics Bank,"G = 6.67 x 10-""I \text{N}\cdot\text{m}^2\text{kg}^{-2}. The value of G in units \text{g}^{-1}\text{cm}^3\text{s}^{-2} is"
99e0c309-811e-4559-9543-62f5c47def37,PHY-UNI-0002,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>$67 \\times 10^{-0}$</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: $67 \\times 10^{-0}$...</p>""}]",Medium,4,1,c,grid_2x2,2024,NEET Physics Bank,$67 \times 10^{-0}$
33aaddaf-cc4e-4d1f-80f7-d5755f809a21,PHY-UNI-0003,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>If the value of atmospheric pressure is $10^{5}$ \\text{dyne/cm}^2, its value in Si units is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: If the value of atmospheric pressure is $10^{5}$ \\text{dyne/...</p>""}]",Easy,4,1,d,grid_2x2,2024,NEET Physics Bank,"If the value of atmospheric pressure is $10^{5}$ \text{dyne/cm}^2, its value in Si units is"
22e25f54-09a5-419c-97cb-d5c962a22925,PHY-UNI-0004,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>The solid angle subtended by the periphery of an area $1 \\text{ cm}^2$ at a point situated symmetrically at a distance of 5 cm from the area is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: The solid angle subtended by the periphery of an area $1 \\te...</p>""}]",Medium,4,1,a,grid_2x2,2024,NEET Physics Bank,The solid angle subtended by the periphery of an area $1 \text{ cm}^2$ at a point situated symmetrically at a distance of 5 cm from the area is
550b4231-8987-490a-93b3-469f99bf77b6,PHY-UNI-0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following statements is incorrect regarding significant figures?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: Which of the following statements is incorrect regarding sig...</p>""}]",Hard,4,1,b,grid_2x2,2024,NEET Physics Bank,Which of the following statements is incorrect regarding significant figures?
f0eb1812-dad9-445a-9729-cdec9d75f079,PHY-UNI-0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>The respective number of significant figures for the numbers 6.320, 6.032, 0.0006032 are</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: The respective number of significant figures for the numbers...</p>""}]",Easy,4,1,c,grid_2x2,2024,NEET Physics Bank,"The respective number of significant figures for the numbers 6.320, 6.032, 0.0006032 are"
c794d47b-2fa0-4204-b2e6-d3df70fd552b,PHY-UNI-0007,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>The number of significant figures in the numbers</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/physics/phy_table_1.png"", ""alt"": ""Figure/Table Diagram for PHY-UNI-0007""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: The number of significant figures in the numbers...</p>""}]",Medium,4,1,d,grid_2x2,2024,NEET Physics Bank,The number of significant figures in the numbers
e36634ac-a43c-427b-8583-c105ba77b6a9,PHY-UNI-0008,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>8000 x10* and 48000.50 are respectively</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: 8000 x10* and 48000.50 are respectively...</p>""}]",Medium,4,1,a,grid_2x2,2024,NEET Physics Bank,8000 x10* and 48000.50 are respectively
3bc4e0ca-01f2-406e-b908-670b1f9bc61d,PHY-UNI-0009,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>The value of resistance is 10.845 S2 and the current is 3.23 A. On multiplying, we get the potential difference is 35.02935 V. The value of potential difference in terms of significant figures would be</p>""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: The value of resistance is 10.845 S2 and the current is 3.23...</p>""}]",Easy,4,1,b,grid_2x2,2024,NEET Physics Bank,"The value of resistance is 10.845 S2 and the current is 3.23 A. On multiplying, we get the potential difference is 35.02935 V. The value of potential difference in terms of significant figures would be"
e83d6920-b6e2-4857-8103-fcbf8e3f4113,PHY-UNI-0010,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,MCQ,"[{""type"": ""text"", ""html"": ""<p>A cube has a side of length $1.2 \\times 10^{2}$ m. Its volume upto correct significant figures is</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/physics/phy_diagram_1.png"", ""alt"": ""Figure for PHY-UNI-0010""}]","[{""type"": ""text"", ""html"": ""<p>Detailed solution and NCERT reference for Physics: A cube has a side of length $1.2 \\times 10^{2}$ m. Its volum...</p>""}]",Hard,4,1,c,grid_2x2,2024,NEET Physics Bank,A cube has a side of length $1.2 \times 10^{2}$ m. Its volume upto correct significant figures is
