id,subject_id,chapter_code,title,created_at,updated_at
13530f6e-7111-4437-8b27-178dc86941a7,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,BIO-13,Morphology of Flowering Plants,2026-09-01 12:16:38.297338+00,2026-09-01 12:16:38.297338+00
2eb68064-3955-488e-805c-ca44cc69ee49,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,CHE-10,Chemical Bonding and Molecular Structure,2026-09-01 10:51:09.709951+00,2026-09-01 10:51:09.709951+00
844a4f13-bac2-4af8-a6db-d8b66dc6f953,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,CH-1332,General,2026-09-01 11:00:32.447196+00,2026-09-01 11:00:32.447196+00
86613cd3-b3d0-45dd-aed6-f11ae59c1c5a,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,CH-1163,test,2026-09-01 08:54:31.51175+00,2026-09-01 08:54:31.51175+00
8b494884-c18f-4364-ab77-b4dd78dfccb0,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,PHY-09,Laws  of Motion,2026-09-01 06:50:34.035493+00,2026-09-01 06:50:34.035493+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b11,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,PHY-01,Units and Measurements,2026-08-29 07:27:47.013294+00,2026-08-29 07:27:47.013294+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b12,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,PHY-ELE-0089,Electrostatics & Current,2026-09-03 06:51:47.467708+00,2026-09-03 06:51:47.467708+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b13,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,CHE-01,Some Basic Concepts of Chemistry,2026-08-29 07:32:56.754314+00,2026-08-29 07:32:56.754314+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b14,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,CHE-ORG-0105,Organic Reaction Mechanisms,2026-09-03 06:51:47.467708+00,2026-09-03 06:51:47.467708+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b15,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,BIO-CELL-0012,Cell Structure & Function,2026-09-03 06:51:47.467708+00,2026-09-03 06:51:47.467708+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,BIO-GEN-0054,Genetics & Inheritance,2026-09-03 06:51:47.467708+00,2026-09-03 06:51:47.467708+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b17,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,CHE-02,Thermodynamics,2026-08-29 11:23:26.69484+00,2026-08-29 11:23:26.69484+00
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,PHY-02,Motion in a Plane,2026-08-29 11:41:46.442599+00,2026-08-29 11:41:46.442599+00
c26968fc-83f3-4818-af8d-2e161025c077,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,BIO-03,Plant kingdom,2026-08-31 05:58:53.380288+00,2026-08-31 06:39:11.187+00
d908bf1a-02a3-471b-8453-b0a0cd1a66f2,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,BIO-13,Anotomy of Flowering Plants,2026-09-01 12:06:05.307241+00,2026-09-01 12:06:05.307241+00
e340f95f-535c-40b2-a4a1-616c686438df,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,CHE-18,Organic Chemistry - Some Basic Principles and Techniques,2026-09-03 10:19:40.761576+00,2026-09-03 10:19:40.761576+00
f1fd6a6f-baee-45e3-8a44-bf29ef3b7cda,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,CH-7340,Test 1,2026-09-01 06:23:48.131797+00,2026-09-01 06:23:48.131797+00
ffc2def8-8c84-4b86-af40-9e743b399689,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,PHY-12,"Work, Energy and Power",2026-09-01 11:42:36.11292+00,2026-09-01 11:42:36.11292+00
