id,question_code,subject_id,chapter_id,question_type,content,explanation,difficulty,marks,negative_marks,correct_option,option_layout,year,source,raw_text
91ebedcd-ad1c-4bc3-85a1-17e1d7f936e5,BIO-ANI-0001,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>When any plane passing through the central axis of the body divides the organism into two identical halves, it is called</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,"When any plane passing through the central axis of the body divides the organism into two identical halves, it is called"
ee2baea6-d7fd-4da6-9328-43f7282643c6,BIO-ANI-0002,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following animals exhibit radial symmetry?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Which of the following animals exhibit radial symmetry?
a99180f5-05c2-4ed2-bbd2-9eae980f17a1,BIO-ANI-0003,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>In bilateral symmetry, the body can be divided into identical left and right halves in</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,"In bilateral symmetry, the body can be divided into identical left and right halves in"
043d957f-5925-45cf-9edf-ae349663dc1c,BIO-ANI-0004,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Diploblastic animals possess</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Diploblastic animals possess
9507c5e8-d269-4b76-8242-c702db8984fc,BIO-ANI-0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following groups of animals are triploblastic?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Which of the following groups of animals are triploblastic?
6d5cbfb8-eb1b-491b-9b89-c9c31047ae02,BIO-ANI-0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>The body cavity which is lined by mesoderm is called</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,The body cavity which is lined by mesoderm is called
69825c2c-b6a1-45bd-9daf-8c8d5c5ae0c7,BIO-ANI-0007,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Animals in which the body cavity is not lined by mesoderm, instead, mesoderm is present as scattered pouches are called</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Medium,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,"Animals in which the body cavity is not lined by mesoderm, instead, mesoderm is present as scattered pouches are called"
d12dc1df-f33b-4934-a11d-caa70eea3dfb,BIO-ANI-0008,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Match column I with column II and select the correct option.</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/biology/bio_ani_table_1.png"", ""alt"": ""Figure/Table Diagram for BIO-ANI-0008""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Medium,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Match column I with column II and select the correct option.
7f29400d-9004-459c-85a6-52d2fbd56719,BIO-ANI-0009,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Metameric segmentation is characteristic of</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Metameric segmentation is characteristic of
1e410f9f-f6c2-4708-aaa0-b006ffa90160,BIO-ANI-0010,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Notochord is derived from which embryonic germ layer?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Notochord is derived from which embryonic germ layer?
a287c8e2-1edb-41de-87ee-6ee5b5f9b9f3,BIO-ANI-0011,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Sponges are generally</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/biology/bio_ani_diag_1.png"", ""alt"": ""Figure/Table Diagram for BIO-ANI-0011""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Sponges are generally
e15ffcd7-5407-4fc7-ac4f-01fb1fc66588,BIO-ANI-0012,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Water transport or canal system in sponges helps in</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Water transport or canal system in sponges helps in
5aeb97cb-e281-4e50-a292-9dd0ad778ea4,BIO-ANI-0013,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>In sponges, water enters through minute pores called</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,"In sponges, water enters through minute pores called"
34fce198-5959-41cb-8b59-3fba577abf65,BIO-ANI-0014,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>The cells lining the spongocoel and canals in sponges are called</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,The cells lining the spongocoel and canals in sponges are called
dc9aa9fc-cd0f-45f2-9782-3a1786f96b85,BIO-ANI-0015,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Skeleton in sponges is made up of</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Skeleton in sponges is made up of
0160318e-6725-4327-9770-6d6fa3567b15,BIO-ANI-0016,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following is a freshwater sponge?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Which of the following is a freshwater sponge?
0c2bba25-c334-47ca-956f-d7fec90e4cd3,BIO-ANI-0017,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Bath sponge is the common name of</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Bath sponge is the common name of
2ed1092e-8f29-443d-9a92-7daee1eff702,BIO-ANI-0018,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Cnidocytes in coelenterates are used for</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Cnidocytes in coelenterates are used for
ba45dace-84a8-4edb-b796-62501e587dd9,BIO-ANI-0019,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Gastro-vascular cavity of coelenterates opens to exterior through</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Gastro-vascular cavity of coelenterates opens to exterior through
084ee741-3944-40b3-9440-668a19a61f88,BIO-ANI-0020,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b16,MCQ,"[{""type"": ""text"", ""html"": ""<p>Corals have a skeleton composed of</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/biology/bio_ani_table_2.png"", ""alt"": ""Figure/Table Diagram for BIO-ANI-0020""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Biology: Chapter 4 - Animal Kingdom.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Biology NEET Chapter 4 - Animal Kingdom,Corals have a skeleton composed of
