id,question_id,option_key,content,sort_order,created_at,updated_at,raw_text
000100fc-b417-4ae9-b44b-293d4c015a3c,1dd012a1-783a-4346-9b15-41702c9187e8,c,"[{""html"":""<p>1.205 × 10²³</p>"",""type"":""text""}]",3,2026-08-31 06:49:25.324567+00,2026-08-31 06:49:25.324567+00,<p>1.205 × 10²³</p>
001035e8-cc72-43a6-bcf4-2c0afad3a299,db00423c-00a8-45de-b0a7-1234df3860fa,a,"[{""html"":""<p>4 × 10²³</p>"",""type"":""text""}]",1,2026-08-31 06:47:50.91453+00,2026-08-31 06:47:50.91453+00,<p>4 × 10²³</p>
0017cbc4-493c-4a92-b506-c829c410e2d6,dbc1563b-4867-4347-bc61-c5fc3f444068,a,"[{""html"":""<p>sp², sp², sp</p>"",""type"":""text""}]",1,2026-09-01 11:07:42.822327+00,2026-09-01 11:07:42.822327+00,"<p>sp², sp², sp</p>"
00474fbf-736f-4ba2-bd24-f944e0afad80,52c43a75-5329-4c8f-8401-728ef4118a14,b,"[{""html"":""<p>F₂</p>"",""type"":""text""}]",2,2026-09-03 08:00:01.960066+00,2026-09-03 08:00:01.960066+00,<p>F₂</p>
00479116-4eb8-49bb-ae9a-ec9584212c54,b25d684c-5010-4d74-a348-08432bfe55dc,b,"[{""html"":""<p>dsp²</p>"",""type"":""text""}]",2,2026-09-01 11:15:08.281247+00,2026-09-01 11:15:08.281247+00,<p>dsp²</p>
006328c1-020b-4c93-ab63-8270a3486076,412f683a-48aa-4226-ab9c-ced5e189f3da,a,"[{""html"":""<p> 9 m</p>"",""type"":""text""}]",1,2026-08-31 06:06:56.221767+00,2026-08-31 06:06:56.221767+00,<p> 9 m</p>
00801f82-4179-41e7-8388-c1bc2931fd77,25a70ae6-65a6-4e3e-b6e0-3c6341c86869,d,"[{""html"":""<p>Second</p>"",""type"":""text""}]",4,2026-08-31 06:14:53.777059+00,2026-08-31 06:14:53.777059+00,<p>Second</p>
00a60a55-f9d7-4373-918e-8f0d7fd92726,885787c4-942b-4793-8d1e-30992db32dce,d,"[{""html"":""<p>CH₃OH</p>"",""type"":""text""}]",4,2026-09-03 07:48:55.499736+00,2026-09-03 07:48:55.499736+00,<p>CH₃OH</p>
00b43eab-4133-47c3-bb43-9dac32c48ee5,7cf37fc8-e72d-42b7-baf7-fc16944ce288,a,"[{""html"":""<p>CO₂</p>"",""type"":""text""}]",1,2026-09-03 08:07:25.930616+00,2026-09-03 08:07:25.930616+00,<p>CO₂</p>
00f87204-0ae8-4ed8-b7d8-f402fc270b93,a3441b94-c290-4f08-8a21-3f9d6be8288e,c,"[{""html"":""<p>Sexual reproduction is oogamous.</p>"",""type"":""text""}]",3,2026-09-02 06:10:10.301692+00,2026-09-02 06:10:10.301692+00,<p>Sexual reproduction is oogamous.</p>
