id,question_id,option_key,content,raw_text,sort_order
6c034871-95fd-41aa-b244-db364f7bc5e4,e7ce639b-3d79-42a6-9258-72f8bb6b2a8a,a,"[{""type"": ""text"", ""html"": ""<p>Work, energy and mass</p>""}]","Work, energy and mass",1
ddc38b73-0073-4eeb-946e-e9f181461d4c,e7ce639b-3d79-42a6-9258-72f8bb6b2a8a,b,"[{""type"": ""text"", ""html"": ""<p>Velocity and acceleration</p>""}]",Velocity and acceleration,2
c01f2dd7-db52-4d40-b340-ccf354cf528a,e7ce639b-3d79-42a6-9258-72f8bb6b2a8a,c,"[{""type"": ""text"", ""html"": ""<p>Force and torque</p>""}]",Force and torque,3
25132e12-6b1f-4c31-bf8d-582fbd957abd,e7ce639b-3d79-42a6-9258-72f8bb6b2a8a,d,"[{""type"": ""text"", ""html"": ""<p>Momentum and displacement</p>""}]",Momentum and displacement,4
1c1eff78-50e8-40a2-9e23-02d2b300d52a,d682fca0-befa-4dec-96b6-2436fe091e06,a,"[{""type"": ""text"", ""html"": ""<p>Electric field and linear momentum</p>""}]",Electric field and linear momentum,1
0410cd18-da53-45fa-b226-30b904e9604c,d682fca0-befa-4dec-96b6-2436fe091e06,b,"[{""type"": ""text"", ""html"": ""<p>Electric current and potential</p>""}]",Electric current and potential,2
259a5165-ac8a-458e-8d5c-1c59e40c66e4,d682fca0-befa-4dec-96b6-2436fe091e06,c,"[{""type"": ""text"", ""html"": ""<p>Pressure and temperature</p>""}]",Pressure and temperature,3
39d71c01-67a6-471f-9390-7ef26afe9b12,d682fca0-befa-4dec-96b6-2436fe091e06,d,"[{""type"": ""text"", ""html"": ""<p>Work and power</p>""}]",Work and power,4
9231de24-2995-4ba1-bfab-ce2562164c6d,fe06dd9a-d747-40b3-9e5b-4d357c6897b3,a,"[{""type"": ""text"", ""html"": ""<p>Unity (1) and specifies direction only</p>""}]",Unity (1) and specifies direction only,1
d948f51d-6ed3-4e81-a635-3a4d5ee9a67e,fe06dd9a-d747-40b3-9e5b-4d357c6897b3,b,"[{""type"": ""text"", ""html"": ""<p>Zero</p>""}]",Zero,2
60a36881-bf10-43ba-977b-f4a710090efa,fe06dd9a-d747-40b3-9e5b-4d357c6897b3,c,"[{""type"": ""text"", ""html"": ""<p>Variable</p>""}]",Variable,3
5074f0a2-50c4-4e62-8512-c52e427d6e33,fe06dd9a-d747-40b3-9e5b-4d357c6897b3,d,"[{""type"": ""text"", ""html"": ""<p>Equal to the magnitude of the original vector</p>""}]",Equal to the magnitude of the original vector,4
3883012a-c160-4f82-a040-d5952261f6e3,55819564-339a-4232-ac49-7003e24ed0ca,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{A} = \\frac{\\vec{A}}{|\\vec{A}|}\\)</p>""}]",\(\hat{A} = \frac{\vec{A}}{|\vec{A}|}\),1
